City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
447,Mundargi,IN,68.41,broken clouds,15.2167,75.9,
449,Cooma,AU,71.51,clear sky,-36.2333,149.1333,
450,Tessalit,ML,67.73,broken clouds,20.1986,1.0114,
451,Betafo,MG,57.74,clear sky,-19.8333,46.85,
452,Moshi,TZ,69.37,clear sky,-3.35,37.3333,
454,Shimoda,JP,58.1,clear sky,34.6667,138.95,
455,Tefe,BR,75.31,overcast clouds,-3.3542,-64.7114,
456,Rio De Janeiro,BR,78.91,clear sky,-22.9028,-43.2075,
457,Lagoa,PT,57.49,overcast clouds,39.05,-27.9833,
458,Dzhankoy,UA,46.22,overcast clouds,45.7167,34.4,
459,Gibraleon,ES,53.02,clear sky,37.3763,-6.968999999999999,
461,Phangnga,TH,83.91,few clouds,8.4509,98.5298,
462,Beyneu,KZ,21.42,clear sky,45.3167,55.2,
463,Odesskoye,RU,8.69,overcast clouds,54.2111,72.9651,
464,Dayong,CN,64.89,overcast clouds,25.0209,118.2898,
465,Homer,US,13.87,clear sky,59.6425,-151.5483,
466,Tanout,NE,64.24,broken clouds,14.9709,8.8879,
467,Springbok,ZA,58.01,overcast clouds,-29.6643,17.8865,
468,Sao Joao Da Barra,BR,76.33,overcast clouds,-21.6403,-41.0511,
469,Yeppoon,AU,82.18,few clouds,-23.1333,150.7333,
470,Mahon,ES,48.76,clear sky,39.8885,4.2658,
471,Goma,CD,61.61,overcast clouds,-1.6792,29.2228,
