City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
246,Havre-Saint-Pierre,50.2334,-63.5986,27.73,67,9,35.52,CA,clear sky
247,Panguna,-6.3164,155.4848,80.89,73,100,1.99,PG,light rain
248,Utete,-7.986,38.758,71.83,96,99,1.77,TZ,overcast clouds
249,Gisborne,-38.6533,178.0042,68.95,93,100,6.4,NZ,overcast clouds
250,Kuito,-12.3833,16.9333,60.44,95,100,1.88,AO,light rain
251,Taltal,-25.4,-70.4833,62.89,78,1,2.98,CL,clear sky
252,Bilibino,68.0546,166.4372,-33.45,95,22,4.76,RU,few clouds
253,Iranshahr,27.2025,60.6848,52.27,25,0,0.89,IR,clear sky
254,Port Lincoln,-34.7333,135.8667,64.2,57,100,13.15,AU,overcast clouds
255,Sosva,59.1766,61.8558,15.26,82,81,7.54,RU,broken clouds
256,Okhotsk,59.3833,143.3,2.57,74,100,16.35,RU,overcast clouds
257,Luoyang,34.6836,112.4536,36.75,50,0,1.66,CN,clear sky
258,Rock Sound,24.9,-76.2,78.66,76,2,13.62,BS,clear sky
259,Necochea,-38.5473,-58.7368,58.03,70,15,4.74,AR,few clouds
260,Vostok,46.4856,135.8833,2.37,91,100,8.52,RU,light snow
261,Aylmer,42.7668,-80.983,43.05,67,0,19.55,CA,clear sky
262,Basco,20.4487,121.9702,76.24,68,4,24.02,PH,clear sky
263,Port Macquarie,-31.4333,152.9167,77.9,59,0,12.17,AU,clear sky
264,Tamandare,-8.7597,-35.1047,78.73,80,22,9.78,BR,few clouds
265,Antofagasta,-23.65,-70.4,62.83,82,28,5.17,CL,scattered clouds
266,Cariamanga,-4.3333,-79.55,53.67,94,100,3.78,EC,light rain
267,Padang,-0.9492,100.3543,77.05,92,100,2.1,ID,overcast clouds
268,Derzhavinsk,51.1,66.3167,-0.2,97,5,5.37,KZ,clear sky
269,Cabo San Lucas,22.8909,-109.9124,75.51,72,31,3.29,MX,scattered clouds
270,Taksimo,56.3444,114.8794,-8.01,98,100,1.52,RU,overcast clouds
271,Rio Gallegos,-51.6226,-69.2181,45.72,46,2,25.14,AR,clear sky
272,Bagotville,-28.9833,153.4167,73.63,75,75,10.92,AU,broken clouds
273,Sungai Besar,3.6746,100.9867,77.81,88,58,3.76,MY,broken clouds
274,Chokurdakh,70.6333,147.9167,-37.98,97,100,2.44,RU,overcast clouds
275,Huarmey,-10.0681,-78.1522,68.43,83,92,7.23,PE,overcast clouds
276,Seoul,37.5683,126.9778,27.79,26,0,6.58,KR,clear sky
277,Olga,43.7444,135.2892,16.43,48,0,27.58,RU,clear sky
278,Carahue,-38.7,-73.1667,46.54,94,21,2.06,CL,few clouds
279,Toamasina,-18.1667,49.3833,73.87,87,33,4.18,MG,scattered clouds
280,Petropavlovsk-Kamchatskiy,53.0452,158.6483,27.19,69,0,2.24,RU,clear sky
281,La Maddalena,41.2142,9.4083,42.85,60,5,11.99,IT,clear sky
282,Ribeira Grande,38.5167,-28.7,58.24,54,100,16.35,PT,overcast clouds
283,Flin Flon,54.7682,-101.865,10.29,97,100,1.9,CA,overcast clouds
284,Mandera,3.9366,41.867,80.28,62,89,13.24,KE,overcast clouds
285,Eyl,7.9803,49.8164,74.43,78,6,20.0,SO,clear sky
286,Emporia,38.4039,-96.1817,44.8,39,1,12.66,US,clear sky
287,Guerrero Negro,27.9769,-114.0611,62.56,60,98,9.66,MX,overcast clouds
288,Port Elizabeth,-33.918,25.5701,70.11,96,100,10.51,ZA,light rain
